"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","the",121,3,"English",0.070267131242741,14,1
"2","and",106,3,"English",0.0615563298490128,7,1
"3","of",91,2,"English",0.0528455284552846,8,2
"4","to",83,2,"English",0.0481997677119628,6,2
"5","in",43,2,"English",0.0249709639953542,9,2
"6","right",33,5,"English",0.0191637630662021,13,2
"7","be",31,2,"English",0.0180023228803717,6,2
"8","article",30,7,"English",0.0174216027874564,7,2
"9","everyone",30,8,"English",0.0174216027874564,11,2
"10","or",30,2,"English",0.0174216027874564,3,2
"11","has",28,3,"English",0.016260162601626,5,2
"12","shall",27,5,"English",0.0156794425087108,4,2
"13","his",21,3,"English",0.0121951219512195,8,2
"14","rights",20,6,"English",0.0116144018583043,11,2
"15","a",19,1,"English",0.0110336817653891,3,2
"16","any",18,3,"English",0.0104529616724739,6,2
"17","for",17,3,"English",0.00987224157955865,9,2
"18","is",13,2,"English",0.00754936120789779,6,3
"19","by",13,2,"English",0.00754936120789779,3,3
"20","all",12,3,"English",0.00696864111498258,6,3
"21","equal",11,5,"English",0.00638792102206736,5,3
"22","human",11,5,"English",0.00638792102206736,8,3
"23","freedom",11,7,"English",0.00638792102206736,5,3
"24","as",11,2,"English",0.00638792102206736,4,3
"25","this",11,4,"English",0.00638792102206736,10,3
"26","freedoms",10,8,"English",0.00580720092915215,9,3
"27","one",10,3,"English",0.00580720092915215,10,3
"28","no",10,2,"English",0.00580720092915215,9,3
"29","which",9,5,"English",0.00522648083623693,10,3
"30","law",9,3,"English",0.00522648083623693,4,3
"31","with",9,4,"English",0.00522648083623693,7,3
"32","entitled",9,8,"English",0.00522648083623693,8,3
"33","protection",9,10,"English",0.00522648083623693,10,3
"34","have",8,4,"English",0.00464576074332172,9,3
"35","social",8,6,"English",0.00464576074332172,6,3
"36","education",8,9,"English",0.00464576074332172,7,3
"37","are",8,3,"English",0.00464576074332172,5,3
"38","Declaration",7,11,"English",0.0040650406504065,7,3
"39","whereas",7,7,"English",0.0040650406504065,2,3
"40","free",7,4,"English",0.0040650406504065,9,3
"41","family",6,6,"English",0.00348432055749129,7,3
"42","against",6,7,"English",0.00348432055749129,7,3
"43","fundamental",6,11,"English",0.00348432055749129,9,3
"44","full",6,4,"English",0.00348432055749129,4,3
"45","other",6,5,"English",0.00348432055749129,4,3
"46","at",6,2,"English",0.00348432055749129,6,3
"47","dignity",5,7,"English",0.00290360046457607,13,3
"48","from",5,4,"English",0.00290360046457607,5,3
"49","it",5,2,"English",0.00290360046457607,3,3
"50","United",5,6,"English",0.00290360046457607,5,3
"51","Nations",5,7,"English",0.00290360046457607,9,3
"52","their",5,5,"English",0.00290360046457607,3,4
"53","person",5,6,"English",0.00290360046457607,8,4
"54","society",5,7,"English",0.00290360046457607,3,4
"55","national",5,8,"English",0.00290360046457607,7,4
"56","international",5,13,"English",0.00290360046457607,6,4
"57","without",5,7,"English",0.00290360046457607,6,4
"58","religion",5,8,"English",0.00290360046457607,4,4
"59","country",5,7,"English",0.00290360046457607,7,4
"60","public",5,6,"English",0.00290360046457607,7,4
"61","recognition",4,11,"English",0.00232288037166086,3,4
"62","enjoy",4,5,"English",0.00232288037166086,4,4
"63","that",4,4,"English",0.00232288037166086,7,4
"64","promote",4,7,"English",0.00232288037166086,6,4
"65","development",4,11,"English",0.00232288037166086,7,4
"66","peoples",4,7,"English",0.00232288037166086,8,4
"67","respect",4,7,"English",0.00232288037166086,3,4
"68","such",4,4,"English",0.00232288037166086,8,4
