"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","ve",88,2,"Turkish",0.0493827160493827,1,1
"2","ı",41,1,"Turkish",0.0230078563411897,6,1
"3","bir",33,3,"Turkish",0.0185185185185185,6,1
"4","hakk",32,4,"Turkish",0.0179573512906846,6,1
"5","madde",30,5,"Turkish",0.0168350168350168,8,1
"6","veya",27,4,"Turkish",0.0151515151515152,10,1
"7","her",26,3,"Turkish",0.0145903479236813,2,1
"8","ın",21,2,"Turkish",0.0117845117845118,9,1
"9","i",20,1,"Turkish",0.0112233445566779,6,1
"10","h",18,1,"Turkish",0.0101010101010101,9,1
"11","ına",17,3,"Turkish",0.00953984287317621,5,1
"12","ır",15,2,"Turkish",0.00841750841750842,9,1
"13","haklar",14,6,"Turkish",0.00785634118967452,8,1
"14","ını",14,3,"Turkish",0.00785634118967452,3,1
"15","vard",14,4,"Turkish",0.00785634118967452,8,1
"16","ının",13,4,"Turkish",0.00729517396184063,7,1
"17","bu",13,2,"Turkish",0.00729517396184063,8,1
"18","e",13,1,"Turkish",0.00729517396184063,5,1
"19","haizdir",13,7,"Turkish",0.00729517396184063,12,1
"20","ş",12,1,"Turkish",0.00673400673400673,6,2
"21","olarak",11,6,"Turkish",0.00617283950617284,7,2
"22","herkes",11,6,"Turkish",0.00617283950617284,2,2
"23","b",10,1,"Turkish",0.00561167227833894,10,2
"24","şahs",10,4,"Turkish",0.00561167227833894,5,2
"25","g",9,1,"Turkish",0.00505050505050505,5,2
"26","k",8,1,"Turkish",0.00448933782267116,7,2
"27","ile",8,3,"Turkish",0.00448933782267116,5,2
"28","ında",8,4,"Turkish",0.00448933782267116,7,2
"29","hiç",8,3,"Turkish",0.00448933782267116,8,2
"30","kimse",8,5,"Turkish",0.00448933782267116,5,2
"31","ütün",7,4,"Turkish",0.00392817059483726,3,2
"32","sosyal",7,6,"Turkish",0.00392817059483726,7,2
"33","çin",7,3,"Turkish",0.00392817059483726,8,2
"34","çe",7,2,"Turkish",0.00392817059483726,5,2
"35","kar",7,3,"Turkish",0.00392817059483726,8,2
"36","şı",7,2,"Turkish",0.00392817059483726,8,2
"37","ba",7,2,"Turkish",0.00392817059483726,7,2
"38","m",7,1,"Turkish",0.00392817059483726,3,2
"39","serbest",7,7,"Turkish",0.00392817059483726,5,2
"40","insan",6,5,"Turkish",0.00336700336700337,7,2
"41","ana",6,3,"Turkish",0.00336700336700337,10,2
"42","öğretim",6,7,"Turkish",0.00336700336700337,5,2
"43","şit",6,3,"Turkish",0.00336700336700337,6,2
"44","herhangi",6,8,"Turkish",0.00336700336700337,2,2
"45","ğu",6,2,"Turkish",0.00336700336700337,5,2
"46","herkesin",6,8,"Turkish",0.00336700336700337,11,2
"47","tam",6,3,"Turkish",0.00336700336700337,2,2
"48","hak",6,3,"Turkish",0.00336700336700337,5,2
"49","d",5,1,"Turkish",0.00280583613916947,6,2
"50","ık",5,2,"Turkish",0.00280583613916947,10,2
"51","s",5,1,"Turkish",0.00280583613916947,7,2
"52","ilan",5,4,"Turkish",0.00280583613916947,5,2
"53","t",5,1,"Turkish",0.00280583613916947,3,2
"54","şekilde",5,7,"Turkish",0.00280583613916947,5,2
"55","milli",5,5,"Turkish",0.00280583613916947,2,2
"56","milletleraras",5,13,"Turkish",0.00280583613916947,6,2
"57","din",5,3,"Turkish",0.00280583613916947,6,2
"58","şahıs",5,5,"Turkish",0.00280583613916947,4,2
"59","ından",5,5,"Turkish",0.00280583613916947,6,2
"60","nı",4,2,"Turkish",0.00224466891133558,5,2
"61","y",4,1,"Turkish",0.00224466891133558,7,2
"62","karşı",4,5,"Turkish",0.00224466891133558,4,2
"63","milletler",4,9,"Turkish",0.00224466891133558,5,2
"64","olan",4,4,"Turkish",0.00224466891133558,5,2
"65","daha",4,4,"Turkish",0.00224466891133558,8,2
"66","ği",4,2,"Turkish",0.00224466891133558,3,2
"67","ıyla",4,4,"Turkish",0.00224466891133558,4,2
"68","şbu",4,3,"Turkish",0.00224466891133558,2,2
"69","do",4,2,"Turkish",0.00224466891133558,2,2
"70","tabi",4,4,"Turkish",0.00224466891133558,9,2
"71","ıdır",4,4,"Turkish",0.00224466891133558,3,2
"72","ayk",4,3,"Turkish",0.00224466891133558,2,2
"73","ırı",4,3,"Turkish",0.00224466891133558,4,3
"74","keyfi",4,5,"Turkish",0.00224466891133558,11,3
"75","a",4,1,"Turkish",0.00224466891133558,6,3
"76","ç",4,1,"Turkish",0.00224466891133558,7,3
"77","etmek",4,5,"Turkish",0.00224466891133558,8,3
"78","hakkı",4,5,"Turkish",0.00224466891133558,12,3
"79","ğe",4,2,"Turkish",0.00224466891133558,4,3
"80","kamu",4,4,"Turkish",0.00224466891133558,9,3
"81","hi",4,2,"Turkish",0.00224466891133558,6,3
"82","i̇nsan",3,6,"Turkish",0.00168350168350168,5,3
"83","hakları",3,7,"Turkish",0.00168350168350168,2,3
"84","olmas",3,5,"Turkish",0.00168350168350168,3,3
"85","bulunmas",3,8,"Turkish",0.00168350168350168,6,3
"86","geli",3,4,"Turkish",0.00168350168350168,5,3
"87","haysiyet",3,8,"Turkish",0.00168350168350168,11,3
"88","de",3,2,"Turkish",0.00168350168350168,1,3
"89","erkek",3,5,"Turkish",0.00168350168350168,15,3
"90","kad",3,3,"Turkish",0.00168350168350168,9,3
"91","etmi",3,4,"Turkish",0.00168350168350168,12,3
"92","na",3,2,"Turkish",0.00168350168350168,3,3
"93","hayat",3,5,"Turkish",0.00168350168350168,12,3
"94","birle",3,5,"Turkish",0.00168350168350168,3,3
"95","şmiş",3,4,"Turkish",0.00168350168350168,5,3
"96","ger",3,3,"Turkish",0.00168350168350168,1,3
"97","genel",3,5,"Turkish",0.00168350168350168,4,3
"98","toplulu",3,7,"Turkish",0.00168350168350168,3,3
"99","yoluyla",3,7,"Turkish",0.00168350168350168,7,3
"100","sayg",3,4,"Turkish",0.00168350168350168,5,3
"101","beyannamede",3,11,"Turkish",0.00168350168350168,6,3
"102","istifade",3,8,"Turkish",0.00168350168350168,6,3
"103","memleket",3,8,"Turkish",0.00168350168350168,2,3
"104","uyru",3,4,"Turkish",0.00168350168350168,3,3
"105","olsun",3,5,"Turkish",0.00168350168350168,4,3
"106","ferdin",3,6,"Turkish",0.00168350168350168,3,3
"107","tan",3,3,"Turkish",0.00168350168350168,15,3
"108","kanun",3,5,"Turkish",0.00168350168350168,12,3
"109","ız",3,2,"Turkish",0.00168350168350168,3,3
"110","ürlü",3,4,"Turkish",0.00168350168350168,9,3
"111","yap",3,3,"Turkish",0.00168350168350168,3,3
"112","vardır",3,6,"Turkish",0.00168350168350168,6,3
"113","kendisine",3,9,"Turkish",0.00168350168350168,8,3
"114","şitlikle",3,8,"Turkish",0.00168350168350168,6,3
"115","taraf",3,5,"Turkish",0.00168350168350168,3,3
"116","adil",3,4,"Turkish",0.00168350168350168,4,3
"117","çık",3,3,"Turkish",0.00168350168350168,6,3
"118","su",3,2,"Turkish",0.00168350168350168,5,3
"119","edilemez",3,8,"Turkish",0.00168350168350168,4,3
"120","özel",3,4,"Turkish",0.00168350168350168,3,3
"121","mahrum",3,6,"Turkish",0.00168350168350168,8,3
"122","evlilik",3,7,"Turkish",0.00168350168350168,7,3
"123","ancak",3,5,"Turkish",0.00168350168350168,13,3
"124","mal",3,3,"Turkish",0.00168350168350168,3,3
"125","olmak",3,5,"Turkish",0.00168350168350168,6,3
"126","kat",3,3,"Turkish",0.00168350168350168,6,3
"127","şahsiyetinin",3,12,"Turkish",0.00168350168350168,8,3
"128","çbir",3,4,"Turkish",0.00168350168350168,6,3
"129","da",3,2,"Turkish",0.00168350168350168,12,3
"130","evrensel",2,8,"Turkish",0.00112233445566779,7,3
"131","bulunan",2,7,"Turkish",0.00112233445566779,7,3
"132","eşit",2,4,"Turkish",0.00112233445566779,11,3
